"famille","classes","ids","cles","formes","gloses","dependances","risque","decision_proposee","question_a_david"
"university","F","95","UNIVERSIDAD_NOUN_UNIVERSITY","UNIVERSIDAD_NOUN_UNIVERSITY=[]","UNIVERSIDAD_NOUN_UNIVERSITY:FR=établissement d'enseignement supérieur;EN=higher education institution","UNIVERSIDAD_NOUN_UNIVERSITY:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille university ?"
"student","F","51","STUDENT","STUDENT=[en:student/noun;es:estudiante/noun;fr:étudiant/noun;it:studente/noun;pt:estudante/noun]","STUDENT:FR=Personne qui étudie;EN=Person who studies","STUDENT:{""forms"":5,""inflected_forms"":1,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille student ?"
"observer","C+F","52|98|181|213|294","OBSERVE|OBSERVAR_VERB_TO_OBSERVE|OBSERVER|OBSERVER_VERB|OBSERVEZ","OBSERVE=[en:observe/verb;es:observar/verb;fr:observer/verb;it:osservare/verb;pt:observar/verb] | OBSERVAR_VERB_TO_OBSERVE=[] | OBSERVER=[en:to observe/verb] | OBSERVER_VERB=[] | OBSERVEZ=[]","OBSERVE:FR=Regarder attentivement;EN=To watch carefully | OBSERVAR_VERB_TO_OBSERVE:FR=regarder attentivement;EN=to watch carefully | OBSERVER:FR=regarder pour étudier;EN=to watch in order to study | OBSERVER_VERB:FR=regarder attentivement pour noter;EN=to watch carefully to note | OBSERVEZ:FR=voir ou remarquer attentivement;EN=to watch or notice carefully","OBSERVE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | OBSERVAR_VERB_TO_OBSERVE:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | OBSERVER:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | OBSERVER_VERB:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | OBSERVEZ:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille observer ?"
"imaginer","C","56|106","IMAGINE|IMAGINAR_VERB_TO_IMAGINE","IMAGINE=[en:imagine/verb;es:imaginar/verb;fr:imaginer/verb;it:immaginare/verb;pt:imaginar/verb] | IMAGINAR_VERB_TO_IMAGINE=[es:imaginaban/verb]","IMAGINE:FR=Se représenter mentalement;EN=To form a mental image | IMAGINAR_VERB_TO_IMAGINE:FR=se former une image mentale;EN=to form a mental image","IMAGINE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | IMAGINAR_VERB_TO_IMAGINE:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille imaginer ?"
"circuler","C","57|107","CIRCULATE|CIRCULAR_VERB_TO_CIRCULATE","CIRCULATE=[en:circulate/verb;es:circular/verb;fr:circuler/verb;it:circolare/verb;pt:circular/verb] | CIRCULAR_VERB_TO_CIRCULATE=[es:circula/verb]","CIRCULATE:FR=Se déplacer autour ou parmi;EN=To move around or among | CIRCULAR_VERB_TO_CIRCULATE:FR=se déplacer en cercle ou se répandre;EN=to move in circle or spread","CIRCULATE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | CIRCULAR_VERB_TO_CIRCULATE:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille circuler ?"
"exister","C","59|109","EXIST|EXISTIR_VERB_TO_EXIST","EXIST=[en:exist/verb;es:existir/verb;fr:exister/verb;it:esistere/verb;pt:existir/verb] | EXISTIR_VERB_TO_EXIST=[es:existe/verb]","EXIST:FR=Être réel ou présent;EN=To be real or present | EXISTIR_VERB_TO_EXIST:FR=avoir une réalité, être présent;EN=to have reality, to be present","EXIST:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | EXISTIR_VERB_TO_EXIST:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille exister ?"
"permettre","C","85|122","ALLOW|PERMITIR_VERB_TO_ALLOW","ALLOW=[en:allow/verb;es:permitir/verb;fr:permettre/verb;it:permettere/verb;pt:permitir/verb] | PERMITIR_VERB_TO_ALLOW=[es:permite/verb]","ALLOW:FR=Permettre;EN=To permit | PERMITIR_VERB_TO_ALLOW:FR=donner la permission ou rendre possible;EN=to give permission or make possible","ALLOW:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | PERMITIR_VERB_TO_ALLOW:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille permettre ?"
"signal_mucho_adjective_determiner_much_many","F","96","MUCHO_ADJECTIVE_DETERMINER_MUCH_MANY","MUCHO_ADJECTIVE_DETERMINER_MUCH_MANY=[en:many/adjective;es:muchos/adjective;fr:beaucoup de/adjective;it:molti/adjective;pt:muitos/adjective]","MUCHO_ADJECTIVE_DETERMINER_MUCH_MANY:FR=quantificateur exprimant une grande quantité;EN=quantifier expressing large amount or many","MUCHO_ADJECTIVE_DETERMINER_MUCH_MANY:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille signal_mucho_adjective_determiner_much_many ?"
"article_indefini","C","110|298","UNO_DETERMINER_INDEFINITE_ONE_A|UNE_ARTICLE","UNO_DETERMINER_INDEFINITE_ONE_A=[en:a/adjective;es:una/adjective;fr:un/adjective;it:una/adjective;pt:uma/adjective] | UNE_ARTICLE=[en:a/adverb;es:una/adverb;fr:une/adverb;it:una/adverb;pt:uma/adverb]","UNO_DETERMINER_INDEFINITE_ONE_A:FR=article indéfini singulier masculin ou pronom;EN=singular indefinite article or pronoun | UNE_ARTICLE:FR=article indéfini féminin singulier;EN=indefinite article feminine singular","UNO_DETERMINER_INDEFINITE_ONE_A:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | UNE_ARTICLE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille article_indefini ?"
"demonstratif","C+D","112|303","ESTE_DEMONSTRATIVE_THIS|CET","ESTE_DEMONSTRATIVE_THIS=[en:this/adjective;es:esta/adjective;fr:ce/cette/adjective;it:questo/adjective;pt:este/adjective] | CET=[en:this/adverb;es:este/adverb;fr:ce/adverb;it:questo/adverb;pt:este/adverb]","ESTE_DEMONSTRATIVE_THIS:FR=déterminant démonstratif masculin singulier;EN=demonstrative determiner masculine singular | CET:FR=pronom démonstratif masculin singulier devant voyelle;EN=demonstrative pronoun masculine singular before vowel","ESTE_DEMONSTRATIVE_THIS:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | CET:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille demonstratif ?"
