"category","family","ids","keys","forms","dependencies","functional_references","risk","question_to_david"
"E","universite_historique","5|50|95","UNIVERSITY_INSTITUTION|UNIVERSITY|UNIVERSIDAD_NOUN_UNIVERSITY","UNIVERSITY_INSTITUTION=[en:university/noun;es:universidad/noun;fr:université/noun;it:università/noun;pt:universidade/noun] | UNIVERSITY=[] | UNIVERSIDAD_NOUN_UNIVERSITY=[]","UNIVERSITY_INSTITUTION:{""forms"":5,""inflected_forms"":1,""outgoing_relations"":4,""incoming_relations"":4,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | UNIVERSITY:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0} | UNIVERSIDAD_NOUN_UNIVERSITY:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","prototypes/08-dico-seven-sieves/database/current_draft/30_seed_experimental.sql|prototypes/08-dico-seven-sieves/database/data_test.sql|prototypes/08-dico-seven-sieves/database/schema.sql|prototypes/08-dico-seven-sieves/database/seed_data.sql|prototypes/08-dico-seven-sieves/database/current_draft/30_seed_experimental.sql|prototypes/08-dico-seven-sieves/database/seed_data.sql","deux entrées vides et une entrée riche, mais seeds et contrats historiques nomment les clés anglaises","Faut-il préserver les clés historiques via alias, ou autoriser une migration coordonnée vers UNIVERSITE ?"
"E","observer","52|98|181|213|294","OBSERVE|OBSERVAR_VERB_TO_OBSERVE|OBSERVER|OBSERVER_VERB|OBSERVEZ","OBSERVE=[en:observe/verb;es:observar/verb;fr:observer/verb;it:osservare/verb;pt:observar/verb] | OBSERVAR_VERB_TO_OBSERVE=[] | OBSERVER=[en:to observe/verb] | OBSERVER_VERB=[] | OBSERVEZ=[]","OBSERVE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | OBSERVAR_VERB_TO_OBSERVE:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0} | OBSERVER:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0} | OBSERVER_VERB:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0} | OBSERVEZ:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","deux entrées contiennent du contenu et trois variantes sont vides ; la clé riche OBSERVE est historique","Quel ID doit porter OBSERVER et comment dédupliquer les formes sans casser les seeds historiques ?"
"E","imaginer","56|106","IMAGINE|IMAGINAR_VERB_TO_IMAGINE","IMAGINE=[en:imagine/verb;es:imaginar/verb;fr:imaginer/verb;it:immaginare/verb;pt:imaginar/verb] | IMAGINAR_VERB_TO_IMAGINE=[es:imaginaban/verb]","IMAGINE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | IMAGINAR_VERB_TO_IMAGINE:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1}","","deux entrées renseignées partagent le même concept probable","Confirmer la fusion et l'ID survivant avant déplacement de la forme espagnole."
"E","circuler","57|107","CIRCULATE|CIRCULAR_VERB_TO_CIRCULATE","CIRCULATE=[en:circulate/verb;es:circular/verb;fr:circuler/verb;it:circolare/verb;pt:circular/verb] | CIRCULAR_VERB_TO_CIRCULATE=[es:circula/verb]","CIRCULATE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | CIRCULAR_VERB_TO_CIRCULATE:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1}","","deux entrées renseignées, gloses proches mais extension possible de « se répandre »","Les deux gloses relèvent-elles d'un seul concept CIRCULER ?"
"E","exister","59|109","EXIST|EXISTIR_VERB_TO_EXIST","EXIST=[en:exist/verb;es:existir/verb;fr:exister/verb;it:esistere/verb;pt:existir/verb] | EXISTIR_VERB_TO_EXIST=[es:existe/verb]","EXIST:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | EXISTIR_VERB_TO_EXIST:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1}","","deux entrées renseignées du même verbe probable","Confirmer une fusion vers EXISTER et l'ID à conserver."
"E","permettre","85|122","ALLOW|PERMITIR_VERB_TO_ALLOW","ALLOW=[en:allow/verb;es:permitir/verb;fr:permettre/verb;it:permettere/verb;pt:permitir/verb] | PERMITIR_VERB_TO_ALLOW=[es:permite/verb]","ALLOW:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | PERMITIR_VERB_TO_ALLOW:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1}","","deux entrées renseignées couvrent permission et possibilité","PERMETTRE doit-il regrouper les deux nuances ou conserver deux concepts qualifiés ?"
"E","article_indefini","110|298","UNO_DETERMINER_INDEFINITE_ONE_A|UNE_ARTICLE","UNO_DETERMINER_INDEFINITE_ONE_A=[en:a/adjective;es:una/adjective;fr:un/adjective;it:una/adjective;pt:uma/adjective] | UNE_ARTICLE=[en:a/adverb;es:una/adverb;fr:une/adverb;it:una/adverb;pt:uma/adverb]","UNO_DETERMINER_INDEFINITE_ONE_A:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | UNE_ARTICLE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1}","","genre, lemme et POS divergent et certaines formes paraissent erronées","Faut-il un concept commun d'article indéfini ou des entrées distinctes par genre ?"
"E","demonstratif","112|303","ESTE_DEMONSTRATIVE_THIS|CET","ESTE_DEMONSTRATIVE_THIS=[en:this/adjective;es:esta/adjective;fr:ce/cette/adjective;it:questo/adjective;pt:este/adjective] | CET=[en:this/adverb;es:este/adverb;fr:ce/adverb;it:questo/adverb;pt:este/adverb]","ESTE_DEMONSTRATIVE_THIS:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | CET:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1}","","ce/cette et cet sont rapprochés avec des POS incohérentes","Le modèle doit-il représenter le déterminant abstrait ou ses variantes morphologiques ?"
"E","article_defini","113|297|311","EL_DEFINITE_ARTICLE_MASCULINE|LE_ARTICLE|PRONOM_DEFINI_MAS_SING","EL_DEFINITE_ARTICLE_MASCULINE=[es:el/adjective;fr:le/adjective;it:il/adjective] | LE_ARTICLE=[en:the/adverb;es:el/adverb;fr:le/adverb;it:il/adverb;pt:o/adverb] | PRONOM_DEFINI_MAS_SING=[en:of the/adverb;es:del/adverb;fr:du/adverb;it:del/adverb;pt:do/adverb]","EL_DEFINITE_ARTICLE_MASCULINE:{""forms"":3,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | LE_ARTICLE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | PRONOM_DEFINI_MAS_SING:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1}","","LE et DU ont été rapprochés sous une glose identique malgré des structures grammaticales différentes","Séparer article défini et forme contractée, puis choisir les clés françaises finales."
"E","etre","115|132|321|329","SER_VERB_TO_BE|SER|ETRE_VERBE|ETRE","SER_VERB_TO_BE=[en:be/verb;es:es/verb;fr:être/verb;it:essere/verb;pt:ser/verb] | SER=[es:ser/verb] | ETRE_VERBE=[en:to be/verb] | ETRE=[]","SER_VERB_TO_BE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | SER:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | ETRE_VERBE:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0} | ETRE:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","trois entrées contiennent du contenu et ETRE est occupée par une entrée vide","Quel ID doit porter ETRE et quelles formes doivent être fusionnées ou corrigées ?"
