"entry_id","entry_key","semantic_domain_exact","semantic_domain_trimmed","frequency_exacte","french_lemma","gloss_fr","case_profile","outer_spaces","accents","punctuation","number_profile","probable_language_or_nature","related_variants","proposed_target","category","semantic_observation"
"1","PHENOMENON_OBSERVABLE","science","science","3","phénomène","phénomène observable","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","science","D","Phénomène, recherche et méthodologie relèvent de la science."
"2","INFORMATION_DATA","communication","communication","4","information","information, donnée communiquée","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","communication","D","Information, demande et échange d’informations sont cohérents."
"3","IMPORTANT_SIGNIFICANT","general","general","8","important","important, significatif","minuscules","non","absents","aucune","singulier ou nom massif","anglais probable","","général","C","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes."
"4","NATION_COUNTRY","politics","politics","2","nation","nation, pays ou communauté politique","minuscules","non","absents","aucune","singulier ou nom massif","anglais","","politique","A","NATION et POLITIQUE relèvent du champ politique."
"5","UNIVERSITY_INSTITUTION","education","education","4","université","université, établissement d’enseignement supérieur","minuscules","non","absents","aucune","singulier ou nom massif","indéterminable","éducation","éducation","A","Université, bibliothèque et collège relèvent de l’éducation ; l’accent français est certain."
"6","FAMILY_RELATION","social","social","1","famille","famille, groupe familial","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","relations sociales","B","FAMILLE relève des relations sociales ; société reste une alternative."
"7","CURRENTLY_NOW","time","time","2","actuellement","actuellement, en ce moment","minuscules","non","absents","aucune","singulier ou nom massif","anglais","temps","temps","A","ACTUELLEMENT et ACTUALMENTE expriment le temps présent."
"8","ACTUALLY_NOW_ES","time","time","2","","actualmente, en ce moment","minuscules","non","absents","aucune","singulier ou nom massif","anglais","temps","temps","A","ACTUELLEMENT et ACTUALMENTE expriment le temps présent."
"9","BOOKSHOP_STORE","commerce","commerce","1","librairie","librairie, magasin de livres","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","commerce","D","LIBRAIRIE relève du commerce."
"10","LIBRARY_PUBLIC","education","education","4","","bibliothèque, lieu de prêt ou consultation de livres","minuscules","non","absents","aucune","singulier ou nom massif","indéterminable","éducation","éducation","A","Université, bibliothèque et collège relèvent de l’éducation ; l’accent français est certain."
"11","ATTEND_BE_PRESENT","action","action","32","assister","assister à, être présent à","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"12","HELP_ASSIST","action","action","32","","aider, porter assistance","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"13","CONDOM_PROTECTION","health","health","1","préservatif","préservatif, moyen de protection contraceptive","minuscules","non","absents","aucune","singulier ou nom massif","anglais","","santé","A","PRESERVATIF relève de la santé ou protection."
